TTSBinIdx	DataRowID	TCIDIdx	TTSRef
66400	12771	16492	chr1
66629	1443	1852	chr1
66737	12774	16496	chr1
66849	12776	16498	chr1
66852	12776	16498	chr1
68453	12777	16500	chr1
78313	12783	16507	chr1
79131	1450	1864	chr1
79135	1450	1864	chr1
80032	1452	1866	chr1
80217	12786	16512	chr1
80863	1454	1869	chr1
84837	1455	1870	chr1
88776	1455	1870	chr1
89316	1462	1879	chr1
90864	1466	1883	chr1
91298	1469	1886	chr1
91892	1471	1889	chr1
92948	12800	16532	chr1
93529	12801	16533	chr1
95995	12804	16536	chr1
99703	1482	1901	chr1
100028	1484	1903	chr1
100034	12812	16547	chr1
100572	12814	16549	chr1
100930	12816	16551	chr1
102707	12820	16556	chr1
104590	12827	16564	chr1
104901	12829	16567	chr1
104908	12829	16567	chr1
105097	12829	16567	chr1
105350	12834	16573	chr1
108567	1490	1912	chr1
110420	1493	1915	chr1
111072	1496	1918	chr1
111200	1502	1924	chr1
112493	12846	16588	chr1
113226	1505	1930	chr1
113332	12847	16589	chr1
117148	1513	1941	chr1
117149	12852	16594	chr1
117241	12854	16596	chr1
117412	1514	1943	chr1
117516	1514	1943	chr1
117517	12855	16597	chr1
117961	12856	16598	chr1
118661	1515	1944	chr1
119078	1520	1949	chr1
119189	1521	1950	chr1
119864	1523	1953	chr1
119947	12860	16606	chr1
120402	12862	16608	chr1
120792	12864	16610	chr1
121234	12866	16613	chr1
121859	12866	16613	chr1
122270	12867	16616	chr1
122901	12869	16620	chr1
126778	1529	1960	chr1
128061	12880	16634	chr1
139102	12889	16648	chr1
139119	12889	16648	chr1
140267	12892	16651	chr1
140313	12892	16651	chr1
140758	12892	16651	chr1
149252	12901	16663	chr1
152506	12901	16663	chr1
152562	12901	16663	chr1
152724	12901	16663	chr1
154790	12908	16674	chr1
154802	12908	16674	chr1
157363	12916	16685	chr1
157649	12917	16686	chr1
158509	1554	1989	chr1
158512	1554	1989	chr1
159863	12922	16695	chr1
160108	12924	16697	chr1
160628	12926	16699	chr1
160852	12929	16702	chr1
160909	12929	16702	chr1
160914	12929	16702	chr1
161743	12933	16706	chr1
163026	1563	1999	chr1
163307	12937	16713	chr1
163452	1567	2004	chr1
164001	1569	2006	chr1
164825	1570	2007	chr1
165391	1574	2011	chr1
165636	1575	2012	chr1
166789	1577	2014	chr1
167639	1578	2015	chr1
167671	12948	16728	chr1
172484	12957	16737	chr1
173071	1597	2044	chr1
173080	1597	2044	chr1
173384	1599	2046	chr1
173806	1600	2047	chr1
174459	1602	2049	chr1
175316	12967	16750	chr1
175755	12968	16751	chr1
176346	12971	16754	chr1
176987	12973	16756	chr1
177650	1607	2054	chr1
177662	1607	2054	chr1
178663	12976	16760	chr1
179070	12976	16760	chr1
180818	12980	16766	chr1
184342	12983	16770	chr1
188074	12988	16776	chr1
189574	12990	16778	chr1
191861	1620	2070	chr1
192173	1621	2071	chr1
192292	1621	2071	chr1
195367	1626	2076	chr1
195780	12998	16787	chr1
196387	13001	16791	chr1
198120	1636	2094	chr1
199234	13007	16799	chr1
199697	13007	16799	chr1
199702	13007	16799	chr1
199708	13007	16799	chr1
199718	13007	16799	chr1
199722	13007	16799	chr1
199917	13009	16801	chr1
201264	1646	2104	chr1
201417	1649	2108	chr1
202501	1651	2110	chr1
203061	1652	2111	chr1
203069	1652	2111	chr1
203967	13013	16806	chr1
204460	1653	2112	chr1
204658	13015	16809	chr1
205016	13016	16810	chr1
205125	13016	16810	chr1
206174	13019	16813	chr1
208127	1655	2115	chr1
208346	1656	2116	chr1
208789	13022	16818	chr1
209154	13023	16819	chr1
209880	1658	2119	chr1
210443	1659	2121	chr1
211131	1661	2123	chr1
214378	1662	2124	chr1
215012	1662	2124	chr1
215033	1662	2124	chr1
216061	1667	2129	chr1
216167	1667	2129	chr1
216169	1667	2129	chr1
216720	1667	2129	chr1
217666	13030	16829	chr1
218358	13033	16832	chr1
219783	1671	2134	chr1
219958	1671	2134	chr1
221096	1673	2136	chr1
221387	1676	2140	chr1
222637	1676	2140	chr1
223791	13044	16848	chr1
224695	1683	2148	chr1
227783	13047	16851	chr1
228900	13049	16854	chr1
229631	13050	16856	chr1
229701	13051	16857	chr1
229796	13052	16858	chr1
230373	13053	16861	chr1
233459	13054	16863	chr1
234953	1690	2158	chr1
235212	1694	2162	chr1
236708	1695	2163	chr1
236948	1696	2164	chr1
237512	1698	2166	chr1
238107	1701	2169	chr1
238577	1704	2173	chr1
238862	1706	2175	chr1
240182	13061	16873	chr1
240698	13062	16875	chr1
241048	13064	16877	chr1
241176	13065	16878	chr1
241519	1712	2183	chr1
241948	1714	2185	chr1
242398	4366	5731	chr1
242863	4303	5638	chr1
244386	1717	2191	chr1
244697	1725	2200	chr1
245137	1728	2203	chr1
246458	13066	16879	chr1
246460	13066	16879	chr1
246495	13066	16879	chr1
247402	1731	2206	chr1
247415	1731	2206	chr1
247422	13068	16881	chr1
248288	13069	16882	chr1
248293	13069	16882	chr1
248340	13069	16882	chr1
248408	13069	16882	chr1
249695	13070	16883	chr1
250717	13071	16884	chr1
252567	1737	2213	chr1
252915	1737	2213	chr1
255590	1738	2216	chr1
255739	1739	2217	chr1
255989	13075	16890	chr1
258700	13076	16893	chr1
259439	13077	16894	chr1
261266	13082	16899	chr1
261463	13084	16901	chr1
261466	13084	16901	chr1
261473	13084	16901	chr1
261858	1745	2225	chr1
261977	1746	2226	chr1
262326	1747	2228	chr1
262329	1747	2228	chr1
262333	1747	2228	chr1
263246	1749	2230	chr1
263482	13089	16906	chr1
263726	1752	2233	chr1
263941	1753	2234	chr1
264376	13090	16907	chr1
264382	13090	16907	chr1
264855	13091	16908	chr1
264963	13092	16909	chr1
265039	13093	16910	chr1
265606	13097	16914	chr1
266062	13101	16918	chr1
266444	13102	16919	chr1
266806	1757	2239	chr1
266992	1758	2241	chr1
267372	13103	16920	chr1
267587	13104	16921	chr1
268562	13106	16925	chr1
268723	13106	16925	chr1
270225	13108	16927	chr1
271144	13113	16933	chr1
271146	13113	16933	chr1
271532	13116	16936	chr1
271896	13117	16937	chr1
272168	1762	2245	chr1
272269	1764	2247	chr1
272869	1765	2249	chr1
273201	13119	16940	chr1
273393	1767	2251	chr1
274816	1770	2254	chr1
275610	13122	16943	chr1
276486	13124	16945	chr1
276684	13126	16948	chr1
276933	1773	2259	chr1
277013	1774	2262	chr1
277098	1777	2266	chr1
277191	13128	16951	chr1
278166	1778	2267	chr1
279301	1782	2272	chr1
279527	1785	2275	chr1
279531	1785	2275	chr1
279617	1785	2275	chr1
279987	1788	2278	chr1
280996	13131	16955	chr1
281572	13132	16956	chr1
281573	13132	16956	chr1
281990	13134	16958	chr1
282412	1790	2281	chr1
282865	13135	16959	chr1
285034	1798	2291	chr1
285204	1798	2291	chr1
285595	1800	2293	chr1
285626	13137	16961	chr1
285859	13138	16962	chr1
286555	13141	16965	chr1
288324	13143	16967	chr1
288447	13143	16967	chr1
288795	13146	16970	chr1
289187	13148	16972	chr1
289190	13148	16972	chr1
289696	1807	2302	chr1
289952	13151	16975	chr1
290631	13153	16977	chr1
290634	13153	16977	chr1
291386	13154	16978	chr1
295086	1818	2318	chr1
295574	1822	2322	chr1
295630	13157	16982	chr1
311964	1842	2347	chr1
312306	1844	2349	chr1
313814	1848	2353	chr1
315385	1851	2356	chr1
317127	1858	2363	chr1
317696	1860	2365	chr1
318459	1862	2368	chr1
318824	13168	17000	chr1
318830	13168	17000	chr1
318859	13168	17000	chr1
318866	13168	17000	chr1
320420	13171	17004	chr1
320437	13171	17004	chr1
320833	13174	17010	chr1
321108	1866	2372	chr1
321697	1868	2374	chr1
322296	1874	2383	chr1
322815	1876	2386	chr1
323852	1877	2389	chr1
324039	1877	2389	chr1
324792	13178	17016	chr1
325385	13184	17022	chr1
325736	13185	17023	chr1
326453	13187	17025	chr1
326662	13190	17028	chr1
326712	13191	17029	chr1
326879	1879	2395	chr1
327128	13193	17032	chr1
327168	13194	17033	chr1
327397	13194	17033	chr1
328278	13196	17036	chr1
328600	1880	2399	chr1
329306	13200	17040	chr1
330047	13200	17040	chr1
332830	13203	17047	chr1
332831	13203	17047	chr1
333364	1889	2416	chr1
333380	1889	2416	chr1
333669	1890	2417	chr1
334302	1892	2419	chr1
335025	1896	2423	chr1
335467	13208	17053	chr1
336476	1899	2426	chr1
337221	13209	17054	chr1
338154	1902	2429	chr1
338411	1902	2429	chr1
343260	13210	17055	chr1
346314	1908	2436	chr1
346326	13212	17058	chr1
346425	13212	17058	chr1
352206	4717	6214	chr1
352253	4716	6213	chr1
352467	4715	6212	chr1
352479	4715	6212	chr1
352585	4713	6210	chr1
353246	1921	2453	chr1
353253	1921	2453	chr1
353254	1921	2453	chr1
354975	1924	2457	chr1
356587	1927	2462	chr1
360233	13221	17072	chr1
360389	13223	17074	chr1
360971	1934	2473	chr1
361071	1934	2473	chr1
361074	1934	2473	chr1
362355	1937	2478	chr1
362738	13228	17079	chr1
363488	13231	17082	chr1
363966	13235	17087	chr1
365496	13240	17093	chr1
365544	13241	17094	chr1
365658	1939	2483	chr1
366151	1940	2484	chr1
366218	13243	17096	chr1
366900	13244	17098	chr1
367719	13247	17102	chr1
367727	13247	17102	chr1
368514	1941	2486	chr1
368634	1943	2488	chr1
369160	1944	2489	chr1
369300	1945	2491	chr1
369489	1946	2492	chr1
374998	1950	2496	chr1
379401	13257	17114	chr1
379804	1956	2502	chr1
380199	1958	2504	chr1
380225	13259	17116	chr1
380615	1959	2505	chr1
381005	1961	2507	chr1
381561	1963	2510	chr1
381580	13263	17120	chr1
382308	1966	2516	chr1
382597	13265	17123	chr1
382611	13265	17123	chr1
384127	4348	5710	chr1
384557	1972	2523	chr1
384711	1977	2528	chr1
384783	13267	17127	chr1
385124	1980	2531	chr1
393254	1988	2540	chr1
393390	1990	2542	chr1
393472	1990	2542	chr1
394074	1993	2545	chr1
394569	13279	17141	chr1
394919	13280	17142	chr1
398751	13282	17144	chr1
400425	2002	2554	chr1
401053	2003	2555	chr1
401377	2006	2559	chr1
401570	2007	2560	chr1
402045	13295	17165	chr1
403491	2010	2565	chr1
403676	2011	2567	chr1
404207	13298	17168	chr1
405631	2014	2570	chr1
406270	13300	17171	chr1
407237	13304	17176	chr1
407829	2016	2572	chr1
408393	13306	17178	chr1
408403	13306	17178	chr1
408590	13306	17178	chr1
408624	13306	17178	chr1
409163	13308	17180	chr1
409433	13309	17181	chr1
409744	13310	17182	chr1
409972	13313	17185	chr1
411313	2023	2579	chr1
411572	13315	17187	chr1
411576	13315	17187	chr1
412496	13317	17189	chr1
413280	2028	2584	chr1
414873	2029	2586	chr1
414874	2029	2586	chr1
416256	2031	2588	chr1
416271	2031	2588	chr1
416286	2031	2588	chr1
417078	2031	2588	chr1
419503	2035	2597	chr1
423843	2037	2599	chr1
426190	13325	17200	chr1
426303	2041	2604	chr1
428006	2042	2605	chr1
428008	2042	2605	chr1
428009	2042	2605	chr1
428015	2042	2605	chr1
428464	13326	17202	chr1
429219	2045	2609	chr1
429221	13328	17205	chr1
430005	13330	17207	chr1
431240	13331	17209	chr1
432059	2048	2613	chr1
432327	2050	2615	chr1
432329	13337	17215	chr1
432536	13337	17215	chr1
432827	13339	17219	chr1
432830	2051	2616	chr1
432912	13339	17219	chr1
433122	13341	17221	chr1
434248	2053	2618	chr1
436379	2056	2621	chr1
436380	13349	17233	chr1
437356	13351	17235	chr1
437512	2057	2622	chr1
437665	13353	17238	chr1
438034	13357	17242	chr1
438246	13359	17244	chr1
438334	2058	2624	chr1
438337	2058	2624	chr1
438554	2061	2627	chr1
439965	13372	17260	chr1
441157	13376	17264	chr1
441732	13378	17266	chr1
443989	13383	17272	chr1
444124	13386	17275	chr1
444356	13387	17276	chr1
444406	13389	17278	chr1
444448	13392	17281	chr1
444456	13392	17281	chr1
444461	13392	17281	chr1
444572	13393	17282	chr1
445845	13395	17284	chr1
448709	13402	17293	chr1
451400	2079	2651	chr1
451403	13406	17300	chr1
452054	13409	17304	chr1
452412	13414	17310	chr1
452534	2080	2652	chr1
452660	13417	17313	chr1
453086	2082	2655	chr1
454523	2083	2656	chr1
454770	2084	2657	chr1
454778	13426	17323	chr1
457925	13428	17326	chr1
459568	2091	2666	chr1
459876	2096	2671	chr1
459885	2096	2671	chr1
460164	13432	17333	chr1
460496	13434	17335	chr1
460897	2100	2675	chr1
461523	2102	2677	chr1
461538	13440	17342	chr1
462692	13441	17343	chr1
465983	2109	2685	chr1
465987	2109	2685	chr1
466407	13450	17355	chr1
466690	13451	17357	chr1
467133	13452	17358	chr1
467693	13455	17361	chr1
468058	13456	17362	chr1
468068	13456	17362	chr1
468599	13458	17365	chr1
469726	13462	17370	chr1
472646	13465	17374	chr1
474892	13468	17379	chr1
475331	13470	17382	chr1
476031	13473	17385	chr1
476557	2127	2715	chr1
476954	2128	2716	chr1
477798	2129	2717	chr1
477994	13477	17389	chr1
478817	13479	17391	chr1
489378	2136	2726	chr1
492425	2145	2737	chr1
504896	2139	2730	chr1
505136	13488	17402	chr1
505695	13488	17402	chr1
505719	13488	17402	chr1
505745	13488	17402	chr1
514343	13492	17406	chr1
514356	13492	17406	chr1
517019	13495	17409	chr1
517879	2164	2766	chr1
518107	2164	2766	chr1
518877	2169	2771	chr1
519849	2169	2771	chr1
520825	13499	17413	chr1
521954	13499	17413	chr1
523446	2173	2779	chr1
524564	2179	2785	chr1
524994	2182	2791	chr1
525218	13506	17420	chr1
526080	13508	17425	chr1
528318	2186	2796	chr1
528701	2190	2801	chr1
528702	13509	17431	chr1
530187	2192	2803	chr1
530680	13513	17435	chr1
530990	13514	17436	chr1
531640	2198	2809	chr1
531921	13516	17439	chr1
533081	13519	17443	chr1
533874	2204	2816	chr1
533929	13521	17446	chr1
534806	13521	17446	chr1
535277	13523	17450	chr1
535278	13523	17450	chr1
536082	2205	2817	chr1
537042	2209	2822	chr1
537938	2210	2823	chr1
539250	13525	17457	chr1
541998	2219	2833	chr1
543042	2223	2837	chr1
543554	2226	2841	chr1
543598	13528	17460	chr1
544112	2227	2842	chr1
544119	13529	17461	chr1
545191	2231	2847	chr1
545192	13533	17466	chr1
546186	2233	2850	chr1
546657	2233	2850	chr1
546658	13535	17469	chr1
550138	13542	17476	chr1
551074	13547	17482	chr1
551814	13550	17485	chr1
552302	2241	2861	chr1
552669	2242	2862	chr1
552717	13554	17489	chr1
553529	2243	2863	chr1
554464	13556	17491	chr1
554646	13557	17493	chr1
555051	13559	17495	chr1
556810	2244	2865	chr1
570452	2258	2883	chr1
571109	13569	17506	chr1
572853	2261	2886	chr1
573204	13572	17509	chr1
574316	2266	2891	chr1
587162	2267	2893	chr1
590431	2284	2916	chr1
591657	2287	2919	chr1
592497	2291	2925	chr1
602805	13594	17547	chr1
603924	2296	2931	chr1
605394	2297	2932	chr1
615429	13598	17552	chr1
615475	13598	17552	chr1
615479	13598	17552	chr1
621910	2312	2948	chr1
622081	13609	17567	chr1
626604	13615	17576	chr1
627850	2318	2954	chr1
629019	13619	17580	chr1
629023	13619	17580	chr1
630631	13621	17582	chr1
631540	2323	2959	chr1
632497	13623	17584	chr1
638332	13627	17589	chr1
639890	13630	17592	chr1
640589	13632	17594	chr1
640594	13632	17594	chr1
640888	13632	17594	chr1
642396	13633	17596	chr1
646694	13637	17603	chr1
649364	13641	17607	chr1
652107	13645	17611	chr1
654321	2343	2985	chr1
656132	13651	17617	chr1
656135	13651	17617	chr1
656138	13651	17617	chr1
657303	13652	17618	chr1
657752	13652	17618	chr1
658861	13654	17621	chr1
658863	13654	17621	chr1
659913	13654	17621	chr1
662581	13656	17626	chr1
662588	13656	17626	chr1
664583	13656	17626	chr1
667977	13656	17626	chr1
669998	13661	17632	chr1
672181	13670	17642	chr1
672669	2359	3004	chr1
673905	2360	3005	chr1
673959	13671	17643	chr1
675200	2363	3008	chr1
676321	13677	17649	chr1
677730	13678	17650	chr1
681508	13685	17658	chr1
685164	2368	3018	chr1
686982	2370	3020	chr1
689156	2375	3026	chr1
689627	2379	3030	chr1
702258	13702	17680	chr1
706713	13709	17690	chr1
708204	2394	3047	chr1
708769	13710	17693	chr1
715134	2401	3057	chr1
715469	2405	3061	chr1
727482	2409	3067	chr1
746638	13726	17712	chr1
747010	13728	17714	chr1
751394	2418	3082	chr1
755941	13735	17722	chr1
756005	13735	17722	chr1
760767	2428	3094	chr1
761900	13740	17729	chr1
762518	13743	17733	chr1
762625	13744	17735	chr1
763981	2434	3100	chr1
765403	13748	17740	chr1
773331	13752	17745	chr1
776851	2442	3109	chr1
777476	13757	17752	chr1
777482	13757	17752	chr1
781483	2448	3117	chr1
782255	2449	3121	chr1
782453	13760	17755	chr1
784447	2455	3129	chr1
784706	13764	17761	chr1
785115	13765	17763	chr1
789567	13767	17766	chr1
790860	13770	17769	chr1
791154	13771	17770	chr1
794724	2463	3139	chr1
822660	13780	17781	chr1
844648	2488	3168	chr1
845437	13796	17800	chr1
846099	13796	17800	chr1
846300	13796	17800	chr1
846306	13796	17800	chr1
846473	13796	17800	chr1
848642	13799	17805	chr1
848740	13799	17805	chr1
849449	13800	17806	chr1
851561	2495	3182	chr1
851562	2495	3182	chr1
853588	2499	3186	chr1
854627	2500	3187	chr1
855142	2501	3189	chr1
855279	13803	17814	chr1
857253	2503	3192	chr1
857425	2504	3193	chr1
859308	2505	3194	chr1
860440	2505	3194	chr1
860464	13805	17817	chr1
861741	2510	3200	chr1
866221	2511	3202	chr1
868620	2513	3205	chr1
868897	13809	17821	chr1
869345	13811	17823	chr1
870127	13812	17824	chr1
871702	13815	17828	chr1
873801	2519	3213	chr1
877941	13821	17838	chr1
891499	13837	17855	chr1
893573	2533	3230	chr1
894586	2535	3232	chr1
894885	2540	3237	chr1
895310	2542	3241	chr1
895917	2544	3243	chr1
896417	2544	3243	chr1
897385	2550	3252	chr1
898294	13842	17864	chr1
899903	13845	17867	chr1
900242	13845	17867	chr1
900986	13846	17870	chr1
902865	13850	17876	chr1
902874	13850	17876	chr1
904606	13854	17881	chr1
911827	2569	3277	chr1
914870	2575	3283	chr1
914878	2575	3283	chr1
918704	2578	3288	chr1
919664	13861	17889	chr1
919666	13861	17889	chr1
923518	2583	3294	chr1
923715	2583	3294	chr1
924149	13868	17896	chr1
924177	13868	17896	chr1
924955	13869	17897	chr1
925458	13871	17900	chr1
927645	13873	17903	chr1
929493	2594	3308	chr1
929516	2594	3308	chr1
929524	2594	3308	chr1
932579	2598	3313	chr1
932975	1259	1605	chr1
935447	13884	17917	chr1
936462	2609	3328	chr1
938114	13891	17925	chr1
940797	2617	3336	chr1
941469	2617	3336	chr1
941473	2617	3336	chr1
943127	2617	3336	chr1
943447	2625	3346	chr1
943750	2627	3348	chr1
945867	2629	3353	chr1
947033	2636	3363	chr1
948839	13896	17933	chr1
950074	2638	3366	chr1
952858	13901	17941	chr1
952860	13901	17941	chr1
953927	2643	3376	chr1
955385	2645	3382	chr1
955580	13906	17946	chr1
955828	13906	17946	chr1
956997	13907	17949	chr1
971871	13920	17966	chr1
983866	2656	3399	chr1
991272	13929	17978	chr1
997298	13931	17982	chr1
1001114	13934	17986	chr1
1003156	13935	17987	chr1
1003160	13935	17987	chr1
1003165	13935	17987	chr1
1003267	13935	17987	chr1
1004353	13939	17992	chr1
1005985	2668	3416	chr1
1007154	2669	3418	chr1
1007317	13941	17996	chr1
1008180	13945	18001	chr1
1010037	13946	18003	chr1
1011851	13950	18007	chr1
1013607	2673	3423	chr1
1013616	13953	18011	chr1
1017023	13958	18017	chr1
1024627	2679	3432	chr1
1035740	2686	3440	chr1
1040685	13966	18026	chr1
1075992	13995	18060	chr1
1076826	13996	18061	chr1
1076827	13996	18061	chr1
1082311	2700	3459	chr1
1085075	2700	3459	chr1
1087354	2705	3464	chr1
1087429	2705	3464	chr1
1092037	2709	3469	chr1
1092041	2709	3469	chr1
1092349	14016	18085	chr1
1092555	14019	18088	chr1
1092892	14020	18089	chr1
1093997	2710	3471	chr1
1094196	2711	3473	chr1
1095061	2711	3473	chr1
1095848	2712	3474	chr1
1096186	4705	6199	chr1
1096565	14024	18097	chr1
1097306	14024	18097	chr1
1097565	14026	18099	chr1
1097926	14029	18102	chr1
1098257	2713	3475	chr1
1099359	2716	3478	chr1
1099405	2716	3478	chr1
1099690	2717	3480	chr1
1099691	2717	3480	chr1
1100090	14033	18106	chr1
1100265	14035	18108	chr1
1100366	14036	18109	chr1
1100367	14036	18109	chr1
1100523	2718	3481	chr1
1100824	14038	18111	chr1
1100911	14039	18112	chr1
1101557	2720	3484	chr1
1101624	14040	18115	chr1
1101632	14040	18115	chr1
1101666	14040	18115	chr1
1101680	14040	18115	chr1
1101986	14044	18122	chr1
1102548	14046	18127	chr1
1102836	2722	3486	chr1
1103066	2723	3487	chr1
1104532	14048	18130	chr1
1105273	14050	18132	chr1
1105435	14050	18132	chr1
1105465	14050	18132	chr1
1105772	14051	18134	chr1
1106550	14052	18136	chr1
1107533	14055	18140	chr1
1108819	14059	18144	chr1
1109337	2725	3495	chr1
1109505	2727	3497	chr1
1109937	14065	18150	chr1
1110617	2729	3499	chr1
1111489	2732	3502	chr1
1111740	2732	3502	chr1
1112176	2737	3508	chr1
1114138	14068	18154	chr1
1114157	14068	18154	chr1
1116828	2744	3516	chr1
1117433	2746	3522	chr1
1117702	14071	18158	chr1
1117723	14071	18158	chr1
1118334	14076	18163	chr1
1118891	14077	18164	chr1
1119703	2749	3527	chr1
1119918	2750	3528	chr1
1120166	14079	18168	chr1
1120467	2754	3534	chr1
1121065	2754	3534	chr1
1121624	14080	18169	chr1
1122981	14082	18172	chr1
1125317	2758	3541	chr1
1129387	14088	18178	chr1
1130100	14090	18180	chr1
1130513	14090	18180	chr1
1131620	14091	18182	chr1
1132170	14093	18184	chr1
1132496	2772	3559	chr1
1132500	2772	3559	chr1
1132579	2773	3560	chr1
1132631	14096	18188	chr1
1134986	2776	3564	chr1
1134989	2776	3564	chr1
1136158	14102	18195	chr1
1139334	14106	18199	chr1
1143017	2784	3573	chr1
1143550	2788	3577	chr1
1144143	2790	3579	chr1
1144475	2792	3582	chr1
1144477	2792	3582	chr1
1144479	14112	18206	chr1
1144719	14113	18207	chr1
1144937	14113	18207	chr1
1144964	14113	18207	chr1
1145220	14116	18210	chr1
1146950	2796	3586	chr1
1150537	2800	3590	chr1
1152127	2804	3594	chr1
1152382	2808	3600	chr1
1152595	2810	3602	chr1
1153233	2811	3606	chr1
1153974	14120	18214	chr1
1155724	14122	18219	chr1
1156321	2812	3608	chr1
1158808	2816	3614	chr1
1163114	2817	3616	chr1
1163833	2818	3617	chr1
1163837	2818	3617	chr1
1165191	14130	18233	chr1
1166543	14132	18235	chr1
1169157	14137	18241	chr1
1169164	14137	18241	chr1
1169259	14137	18241	chr1
1171137	2823	3624	chr1
1172103	2826	3629	chr1
1172970	14139	18243	chr1
1174526	14142	18246	chr1
1175443	14144	18248	chr1
1176029	14146	18250	chr1
1176644	2831	3635	chr1
1177464	2832	3636	chr1
1177535	2832	3636	chr1
1179100	14149	18253	chr1
1181486	14151	18255	chr1
1184723	2836	3643	chr1
1187278	2839	3646	chr1
1196832	2852	3660	chr1
1199114	14163	18269	chr1
1201903	2859	3670	chr1
1202544	14171	18279	chr1
1203115	2861	3672	chr1
1203542	2863	3674	chr1
1203877	2863	3674	chr1
1204391	2868	3681	chr1
1206123	2866	3679	chr1
1208390	4670	6148	chr1
1209359	14286	18422	chr1
1437678	2934	3766	chr1
1443642	2934	3766	chr1
1449320	2887	3706	chr1
1449950	2887	3706	chr1
1450964	14207	18322	chr1
1454131	14231	18348	chr1
1454384	14232	18349	chr1
1454703	2902	3725	chr1
1454770	14234	18351	chr1
1455161	14237	18355	chr1
1455165	14237	18355	chr1
1455249	14238	18356	chr1
1455492	14240	18359	chr1
1456108	2903	3727	chr1
1456110	14243	18364	chr1
1457155	2907	3731	chr1
1457276	14245	18366	chr1
1458271	2928	3757	chr1
1458838	4344	5705	chr1
1466441	2919	3748	chr1
1466972	2920	3749	chr1
1467142	14253	18378	chr1
1470131	14259	18384	chr1
1471426	2926	3755	chr1
1472327	2928	3757	chr1
1472454	2928	3757	chr1
1474005	4344	5705	chr1
1474255	4344	5705	chr1
1479554	2934	3766	chr1
1495530	2934	3766	chr1
1497542	14286	18422	chr1
1497839	2944	3778	chr1
1498582	2948	3785	chr1
1498594	2949	3786	chr1
1498711	14287	18428	chr1
1498894	2950	3787	chr1
1499082	2953	3791	chr1
1499087	2953	3791	chr1
1499826	2956	3795	chr1
1500393	14289	18430	chr1
1501221	14290	18432	chr1
1502070	2960	3800	chr1
1502085	2960	3800	chr1
1502451	14292	18435	chr1
1502662	14295	18439	chr1
1502939	14297	18441	chr1
1503369	14298	18442	chr1
1504598	14302	18448	chr1
1504804	14303	18449	chr1
1505218	14306	18453	chr1
1505522	2964	3808	chr1
1506016	2967	3812	chr1
1506020	2967	3812	chr1
1506696	2969	3814	chr1
1506933	2971	3816	chr1
1507384	2972	3817	chr1
1507809	2976	3821	chr1
1508492	2979	3824	chr1
1509809	14314	18464	chr1
1510090	14316	18466	chr1
1510430	14320	18473	chr1
1511191	2988	3836	chr1
1511291	14321	18474	chr1
1511485	2992	3841	chr1
1511626	2993	3843	chr1
1512547	14326	18484	chr1
1513197	2998	3850	chr1
1513452	2999	3851	chr1
1513720	14328	18486	chr1
1514146	3000	3852	chr1
1514319	3000	3852	chr1
1514838	14329	18487	chr1
1515127	14330	18490	chr1
1515846	14332	18494	chr1
1516887	3009	3861	chr1
1516888	3009	3861	chr1
1516892	3009	3861	chr1
1517354	14334	18498	chr1
1517360	3013	3865	chr1
1517391	14334	18498	chr1
1517630	3016	3868	chr1
1517778	3017	3871	chr1
1517985	3018	3872	chr1
1518043	3018	3872	chr1
1518261	3022	3876	chr1
